"","nmajor","major1","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internships","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","double_major"
"260",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"Media Related","No Minor","White","Female","3.50 - 4.00",2021,"Cum Laude","Columbus","Bath and Body Works",NA,NA,NA,"3",NA,"accepted fulltime job",NA,NA,60000,"No Double Major"
"261",1,"Finance",0,1,0,0,0,0,0,0,0,0,0,"Economics","No Minor","White","Male","3.00 - 3.49",2019,"0","Chicago","TransPerfect Legal Solutions",NA,NA,NA,NA,NA,"accepted fulltime job",NA,NA,40000,"No Double Major"
"262",1,"Finance",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2020,"0",NA,NA,NA,NA,NA,"2","2","seeking employment",NA,NA,NA,"No Double Major"
"263",2,"Information Systems",0,1,0,0,1,0,1,1,0,0,0,"Business Analytics","Business Analytics","White","Male","3.50 - 4.00",2019,"Summa Cum Laude","Rockford","Emerson","Operations / Procurement","Master of Business Administration (Early Admission Program)","Massachusetts Institute of Technology","3","2","accepted fulltime job","Yes","Yes",62000,"Double Major"
"264",1,"Supply Chain & Operations Mgmt",0,1,0,0,0,0,0,0,0,0,0,"Sport Management","No Minor","White","Male","3.00 - 3.49",2021,"0","Columbus","TS Tech Americas, Inc.","Operations / Procurement",NA,NA,"3","2","accepted fulltime job","Yes","Yes",50000,"No Double Major"
"265",1,"Marketing",1,1,0,0,0,0,1,1,0,0,0,"Humanities","Humanities","Multi Racial","Female","3.00 - 3.49",2021,"0","Chicago","MoLo Solutions",NA,NA,NA,"2","1","accepted fulltime job",NA,NA,45000,"No Double Major"
"266",1,"Accountancy",0,1,1,0,0,0,0,0,0,0,0,"Information Systems","Information Systems","White","Male","3.50 - 4.00",2020,"Cum Laude","Cincinnati","Deloitte","Accounting","MAcc",NA,"1","1","accepted fulltime job","Yes","Yes",53000,"No Double Major"
"267",1,"Finance",0,1,0,0,0,0,0,0,0,1,0,"Accountancy","Accountancy","White","Male","3.00 - 3.49",2021,"0","Milwaukee","Kohl's","Accounting Analytics Finance",NA,NA,"1","2","accepted fulltime job","Yes","Yes",55000,"No Double Major"
"268",1,"Finance",1,1,0,0,0,0,0,0,0,0,0,"Humanities","Humanities","White","Male","2.50 - 2.99",2021,"0","Columbus","Group Management Solutions",NA,NA,NA,"2","3","accepted fulltime job","Yes","Yes",45000,"No Double Major"
"269",1,"Marketing",0,0,1,0,0,0,0,1,0,0,0,"Interactive Media Studies","Interactive Media Studies","White","Female","3.50 - 4.00",2021,"Magna Cum Laude",NA,NA,NA,"Sports Leadership & Management","Miami University",NA,NA,"continuing education",NA,NA,NA,"No Double Major"
"270",1,"Supply Chain & Operations Mgmt",0,1,0,0,1,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2021,"0",NA,NA,NA,NA,NA,"1","1","seeking employment",NA,NA,NA,"No Double Major"
"271",1,"Finance",0,1,0,0,1,0,0,0,0,0,0,"No Minor","No Minor","Hispanic/Latino","Female","3.00 - 3.49",2019,"0","Mentor","Avery Dennison","Finance",NA,NA,"1","1","accepted fulltime job","Yes","Yes",60000,"No Double Major"
"272",1,"Finance",0,1,0,0,0,0,0,0,0,1,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2020,"0",NA,NA,NA,NA,"Miami University","1","2","continuing education",NA,NA,NA,"No Double Major"
"273",1,"Finance",0,0,0,0,0,0,0,0,0,0,0,"Humanities","No Minor","White","Male","2.50 - 2.99",2019,"0","Westerville","Edward Jones","Finance",NA,NA,"1","6","accepted fulltime job","Yes","Yes",45000,"No Double Major"
"274",1,"Supply Chain & Operations Mgmt",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2019,"0","Chicago","Medline Industries Inc.","Logistics / Supply Chain",NA,NA,"1","2","accepted fulltime job","Yes","Yes",62000,"No Double Major"
